method_name,optimizer,lr,epochs,synth_size,margin,leak,Name
cnl,adamw,1e-6,25,,,,qwen3-0.6b-csqa-paper-hparam-sweep-cnl-lr1e-6-ep25-optadamw-maskupdate
cnl,adamw,1e-7,25,,,,qwen3-0.6b-csqa-paper-hparam-sweep-cnl-lr1e-7-ep25-optadamw-maskupdate
cnl,adamw,2e-6,25,,,,qwen3-0.6b-csqa-paper-hparam-sweep-cnl-lr2e-6-ep25-optadamw-maskupdate
cnl,adamw,2e-7,25,,,,qwen3-0.6b-csqa-paper-hparam-sweep-cnl-lr2e-7-ep25-optadamw-maskupdate
cnl_leaky,adamw,1e-7,25,,,0.01-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky-leak0.01-lr1e-7-ep25-optadamw-maskupdate
cnl_leaky,adamw,1e-7,25,,,0.05-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky-leak0.05-lr1e-7-ep25-optadamw-maskupdate
cnl_leaky,adamw,2e-7,25,,,0.01-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky-leak0.01-lr2e-7-ep25-optadamw-maskupdate
cnl_leaky,adamw,2e-7,25,,,0.05-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky-leak0.05-lr2e-7-ep25-optadamw-maskupdate
cnl_leaky_synth,adamw,1e-7,25,correct,,0.01-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky_synth-synthcorrect-leak0.01-lr1e-7-ep25-optadamw-maskupdate
cnl_leaky_synth,adamw,1e-7,25,correct,,0.05-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky_synth-synthcorrect-leak0.05-lr1e-7-ep25-optadamw-maskupdate
cnl_leaky_synth,adamw,1e-7,25,wrong,,0.01-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky_synth-synthwrong-leak0.01-lr1e-7-ep25-optadamw-maskupdate
cnl_leaky_synth,adamw,1e-7,25,wrong,,0.05-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky_synth-synthwrong-leak0.05-lr1e-7-ep25-optadamw-maskupdate
cnl_leaky_synth,adamw,2e-7,25,correct,,0.01-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky_synth-synthcorrect-leak0.01-lr2e-7-ep25-optadamw-maskupdate
cnl_leaky_synth,adamw,2e-7,25,correct,,0.05-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky_synth-synthcorrect-leak0.05-lr2e-7-ep25-optadamw-maskupdate
cnl_leaky_synth,adamw,2e-7,25,wrong,,0.01-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky_synth-synthwrong-leak0.01-lr2e-7-ep25-optadamw-maskupdate
cnl_leaky_synth,adamw,2e-7,25,wrong,,0.05-,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_leaky_synth-synthwrong-leak0.05-lr2e-7-ep25-optadamw-maskupdate
cnl_margin,adamw,1e-7,25,,1e-12-,,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_margin-margin1e-12-lr1e-7-ep25-optadamw-maskupdate
cnl_margin,adamw,2e-7,25,,1e-12-,,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_margin-margin1e-12-lr2e-7-ep25-optadamw-maskupdate
cnl_margin_synth,adamw,1e-7,25,correct,1e-12-,,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_margin_synth-synthcorrect-margin1e-12-lr1e-7-ep25-optadamw-maskupdate
cnl_margin_synth,adamw,1e-7,25,wrong,1e-12-,,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_margin_synth-synthwrong-margin1e-12-lr1e-7-ep25-optadamw-maskupdate
cnl_margin_synth,adamw,2e-7,25,correct,1e-12-,,qwen3-0.6b-csqa-relaxed-paper-hparam-sweep-cnl_margin_synth-synthcorrect-margin1e-12-lr2e-7-ep25-optadamw-maskupdate
cnl_synth,adamw,1e-7,25,correct,,,qwen3-0.6b-csqa-paper-hparam-sweep-cnl_synth-synthcorrect-lr1e-7-ep25-optadamw-maskupdate
cnl_synth,adamw,1e-7,25,wrong,,,qwen3-0.6b-csqa-paper-hparam-sweep-cnl_synth-synthwrong-lr1e-7-ep25-optadamw-maskupdate
cnl_synth,adamw,2e-7,25,correct,,,qwen3-0.6b-csqa-paper-hparam-sweep-cnl_synth-synthcorrect-lr2e-7-ep25-optadamw-maskupdate
cnl_synth,adamw,2e-7,25,wrong,,,qwen3-0.6b-csqa-paper-hparam-sweep-cnl_synth-synthwrong-lr2e-7-ep25-optadamw-maskupdate
